"Country",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.843,3.283,3.41,3.76,4.068,4.271,4.314,4.004,3.556,3.968,4.603,5.126,5.348,5.816,7.31,8.086,9.682,11.186,12.208,13.515,13.99,13.972,15.405,16.128,16.277,17.134,15.532,18.109,19.166,17.421,no data,no data,no data,no data,no data,no data,
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,42.444,31.318,26.842,21.606,21.888,20.22,19.394,23.534,18.806,16.192,16.219,18.192,21.05,22.941,24.52,
Zambia,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,3.87,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,18.138,22.096,29.122,28.163,25.913,31.832,36.811,41.141,44.482,47.826,
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.143,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.768,11.34,11.243,10.734,9.573,9.465,9.045,8.141,7.784,6.707,9.666,12.042,14.102,17.115,19.091,19.496,19.963,20.549,22.04,36.922,26.033,26.878,36.016,32.527,35.231,35.919,36.933,37.189,38.064,38.692,39.333,
Africa (Region),472.962,482.864,488.907,470.344,412.907,406.64,445.601,499.318,529.603,569.152,663.427,612.414,612.962,613.129,600.263,712.385,795.493,825.775,834.112,691.573,711.279,689.507,704.841,850.439,1019.15,1195.298,1381.402,1605.978,1880.365,1792.327,2094.417,2343.226,2503.719,2599.347,2700.956,2465.802,2343.461,2364.425,2519.69,2603.459,2492.845,2781.699,3001.207,2867.955,2780.597,2822.919,3037.088,3241.346,3466.961,3696.032,
Asia and Pacific,2365.119,2529.479,2461.237,2615.52,2773.055,2825.689,3601.239,4274.622,5098.701,5301.959,5527.926,6095.4,6680.213,7523.535,8163.078,9276.896,9057.515,8712.382,7878.187,8750.009,9372.058,8746.405,8982.409,10029.268,11312.707,12234.893,13101.517,14974.31,16937.83,17391.247,20306.269,23387.976,24851.521,25242.038,26177.868,25972.589,27038.874,28989.43,31135.721,31902.78,31988.067,36575.973,36506.958,37036.239,38348.143,41024.438,43622.482,46284.209,49124.799,51978.525,
Australia and New Zealand,185.496,211.904,210.309,201.984,219.536,196.944,208.929,250.108,316.63,352.429,369.918,367.856,359.516,354.096,406.293,441.412,493.845,495.21,438.298,470.874,454.43,431.205,487.538,623.599,760.375,849.701,893.19,1084.968,1191.947,1122.538,1400.049,1682.538,1745.356,1707.261,1657.51,1410.784,1449.568,1586.294,1628.881,1598.853,1575.099,1908.15,1966.609,1989.308,2054.243,2144.064,2239.71,2326.681,2423.871,2531.323,
Caribbean,18.191,19.896,21.961,21.887,21.902,22.353,21.331,20.252,20.665,22.265,22.621,22.509,22.27,22.987,26.099,31.888,34.452,37.232,40.083,42.705,44.901,45.312,47.004,48.589,53.876,60.995,66.636,75.379,84.978,74.786,80.105,86.789,91.476,93.954,95.979,94.063,88.745,92.364,96.674,95.811,83.523,99.998,118.832,124.403,141.863,151.571,161.327,166.863,173.283,180.34,
Central America,35.209,35.229,35.787,37.585,44.79,38.87,38.316,37.983,36.255,40.982,37.458,46.358,52.374,57.175,62.432,69.567,74.434,81.209,87.95,89.148,94.402,99.668,105.104,103.013,110.196,132.112,144.738,164.763,185.594,185.551,206.519,231.867,250.099,265.301,282.947,302.966,319.717,338.439,351.63,364.628,336.903,384.424,434.154,482.2,513.099,546.693,583.248,622.368,664.206,708.736,
Central Asia and the Caucasus,96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,230.662,273.278,212.873,280.721,303.837,319.492,336.217,310.505,329.879,264.633,309.054,401.816,516.452,644.893,739.176,928.983,1083.182,929.075,1110.783,1257.357,1335.139,1457.59,1440.528,1295.414,1230.674,1244.927,1196.888,1178.37,1114.925,1263.299,1459.985,1742.8,1996.266,2151.706,2223.673,2368.057,2520.136,2686.759,
East Asia,1573.985,1692.365,1609.301,1754.344,1858.507,1944.718,2664.967,3221.518,3931.475,4049.252,4122.323,4682.796,5169.956,5918.753,6433.639,7288.784,6869.623,6523.457,5969.16,6710.163,7275.154,6745.938,6773.594,7385.369,8183.165,8651.164,9033.736,9978.886,11418.249,11970.8,13665.728,15775.497,16917.806,17073.147,17816.503,17953.172,18684.485,19849.846,21691.08,22198.317,22692.546,25898.799,25056.571,24973.734,25413.804,27135.09,28755.383,30305.375,31924.069,33446.494,
Eastern Europe ,165.523,175.648,189.517,191.755,184.588,182.672,188.526,192.748,228.064,222.139,167.19,148.694,291.572,453.897,599.713,772.871,890.198,936.829,816.811,704.22,766.269,867.497,980.487,1196.896,1524.85,1865.576,2262.15,2925.425,3655.804,2859.125,3236.084,3832.067,3888.939,4070.111,3831.07,2887.615,2832.81,3308.157,3612.216,3710.666,3494.543,4167.26,4602.415,4691.488,5021.184,5204.838,5437.032,5660.474,5890.483,6113.635,
Europe,4007.467,3607.829,3493.176,3404.056,3271.111,3385.424,4556.557,5597.616,6267.253,6366.803,7796.416,8264.343,9117.342,8474.745,9113.853,10541.286,10845.008,10299.015,10471.47,10380.587,9766.821,9933.322,10859.744,13187.363,15323.942,16243.962,17560.871,20472.618,22513.639,19789.513,20109.024,22148.727,21198.304,22093.895,22452.236,19284.229,19285.616,20519.409,22125.935,21846.883,21137.033,24235.998,24219.105,25802.398,27096.28,28219.707,29337.812,30357.952,31432.32,32534.51,
Middle East (Region),365.795,429.408,417.245,425.324,421.959,423.827,430.427,520.223,550.433,626.986,885.325,625.722,405.073,426.124,474.634,534.385,616.183,662.768,657.188,764.066,969.023,920.183,734.852,821.288,981.101,1197.715,1413.194,1680.324,2109.044,1868.761,2217.607,2659.313,2633.541,2747.491,2829.795,2461.72,2491.636,2678.363,2802.256,2716.085,2346.74,2841.976,3497.567,3363.296,3529.223,3657.074,3872.074,4086.806,4305.376,4536.722,
North Africa,143.043,137.188,142.105,148.661,153.868,171.096,177.022,203.441,213.624,239.819,241.68,183.912,187.334,187.729,186.731,205.495,227.924,233.893,240.52,254.299,268.245,262.741,242.89,270.813,306.06,351.346,406.423,474.108,585.135,555.528,630.281,672.055,767.824,772.539,787.365,742.524,738.053,664.69,704.372,751.318,758.04,833.236,919.691,870.828,894.711,881.391,945.029,1008.175,1076.852,1149.764,
North America,3389.979,3841.238,3900.909,4177.174,4630.542,4955.745,5140.043,5487.108,5985.876,6497.755,6897.431,7171.698,7576.992,8004.758,8460.472,8668.52,9181.222,9804.197,10308.4,10998.673,11799.344,12186.616,12572.461,13193.433,14143.43,15214.191,16242.497,17135.025,17577.907,16894.382,17870.126,18722.417,19438.988,20157.157,20880.829,21168.178,21549.466,22555.533,23739.083,24694.027,24233.774,27108.144,29745.274,31769.92,33351.671,34607.522,36002.46,37468.295,38988.736,40561.835,
Pacific Islands ,5.925,5.89,5.639,5.535,5.337,4.991,5.437,5.707,7.229,7.165,6.952,7.91,9.035,10.063,11.104,10.519,11.244,10.921,8.646,8.471,8.235,7.516,7.538,9.306,10.749,12.325,13.609,15.376,17.947,17.124,20.364,25.221,28.926,29.248,31.578,29.872,29.276,31.971,33.783,34.319,32.363,34.454,40.764,40.858,42.494,43.823,45.318,46.964,48.861,50.621,
South America,581.096,583.981,494.458,463.468,454.181,500.145,564.531,599.011,667.453,731.017,812.063,833.763,891.88,963.205,1146.486,1433.863,1538.986,1636.37,1615.772,1303.779,1378.406,1266.259,996.146,1073.371,1296.606,1656.004,2014.189,2505.398,3045.338,2933.096,3763.581,4404.926,4451.696,4433.435,4317.656,3521.697,3420.213,3874.402,3654.178,3476.095,2857.827,3323.702,3841.067,4169.018,4225.38,4377.976,4616.338,4846.974,5092.318,5345.072,
South Asia,257.208,273.45,283.385,298.216,300.023,323.764,341.535,377.641,405.016,412.495,442.076,402.844,427.363,424.648,478.2,532.32,574.63,600.928,608.772,642.835,657.303,671.957,706.543,823.201,953.157,1085.315,1234.373,1549.237,1576.976,1719.755,2091.416,2301.606,2334.39,2399.419,2628.478,2752.901,2992.796,3415.06,3516.116,3639.45,3473.194,4065.419,4313.321,4491.294,4856.741,5298.308,5811.471,6381.265,7014.958,7717.742,
Southeast Asia,245.909,248.004,263.685,270.473,307.009,262.444,278.034,300.721,313.319,332.892,379.15,425.592,483.68,542.698,620.968,723.139,804.336,762.373,517.094,607.162,647.056,625.157,698.141,785.977,888.809,991.495,1187.433,1416.86,1649.53,1631.956,2017.929,2345.756,2489.904,2575.373,2603.271,2530.447,2652.075,2861.332,3068.974,3253.47,3099.94,3405.851,3669.709,3798.244,3984.595,4251.447,4546.927,4855.866,5192.904,5545.586,
Sub-Saharan Africa (Region) ,329.918,345.676,346.803,321.683,259.04,235.544,268.579,295.877,315.98,329.333,421.747,428.501,425.628,425.399,413.532,506.889,567.569,591.882,593.592,437.274,443.034,426.766,461.95,579.626,713.09,843.953,974.979,1131.869,1295.23,1236.8,1464.137,1671.171,1735.895,1826.808,1913.591,1723.278,1605.409,1699.735,1815.318,1852.141,1734.805,1948.463,2081.516,1997.126,1885.886,1941.527,2092.06,2233.171,2390.11,2546.268,
Western Europe,3841.944,3432.181,3303.659,3212.301,3086.523,3202.752,4368.032,5404.867,6039.189,6144.664,7629.225,8115.649,8825.77,8020.848,8514.14,9768.416,9954.81,9362.185,9654.66,9676.367,9000.552,9065.825,9879.257,11990.467,13799.092,14378.387,15298.721,17547.193,18857.835,16930.388,16872.94,18316.66,17309.365,18023.784,18621.166,16396.614,16452.806,17211.251,18513.719,18136.218,17642.49,20068.737,19616.69,21110.909,22075.096,23014.87,23900.779,24697.478,25541.838,26420.875,
Western Hemisphere (Region),4024.476,4480.344,4453.115,4700.115,5151.415,5517.113,5764.222,6144.355,6710.25,7292.019,7769.573,8074.328,8543.517,9048.124,9695.489,10203.839,10829.094,11559.008,12052.205,12434.306,13317.052,13597.855,13720.715,14418.406,15604.109,17063.302,18468.059,19880.565,20893.818,20087.815,21920.331,23446,24232.259,24949.846,25577.411,25086.904,25378.141,26860.738,27841.565,28630.56,27512.027,30916.268,34139.327,36545.541,38232.012,39683.762,41363.374,43104.501,44918.543,46795.984,
ASEAN-5,208.639,229.269,239.197,233.223,242.907,234.883,228.952,241.508,278.672,318.986,363.369,406.573,460.837,515.3,588.415,682.569,758.546,714.207,467.858,553.957,587.767,564.573,633.787,712.337,798.144,885.755,1064.94,1272.687,1466.161,1442.422,1803.078,2079.603,2191.371,2252.201,2253.38,2177.837,2284.293,2462.802,2631.342,2781.881,2608.251,2894.763,3125.132,3224.286,3372.027,3595.604,3844.312,4102.379,4385.532,4682.628,
Advanced economies,8480.672,8616.056,8555.257,8903.058,9310.663,9802.971,11971.154,13919.655,15723.948,16404.195,18412.004,19667.969,21161.984,21330.703,22917.252,25386.525,25569.176,25071.192,25154.169,26500.127,26963.822,26690.444,27848.91,31245.849,34669.549,36495.443,38384.366,41935.56,44303.754,41802.238,43660.011,46889.69,46709.437,47175.646,48288.303,45710.602,46952.89,49014.751,51863.074,52399.574,51527.538,57538.235,58806.296,62129.487,64681.709,67561.045,70300.608,72964.042,75782.827,78608.069,
Emerging and Developing Asia,764.076,758.85,774.462,818.092,859.261,835.446,858.956,940.084,1049.396,1118.529,1123.279,1132.753,1282.323,1451.039,1514.554,1811.917,2052.654,2131.736,1973.024,2165.907,2324.275,2453.501,2689.29,3067.434,3557.501,4109.284,4883.116,6176.93,7432.207,8081.869,9734.921,11666.052,12860.754,14076.158,15214.392,15831.317,16280.491,17903.701,19741.915,20585.161,20832.525,24498.848,25017.316,25271.097,26276.864,28196.247,30250.095,32319.92,34502.187,36766.302,
Emerging and Developing Europe,262.119,273.513,278.435,276.722,267.23,275.499,290.862,311.675,353.096,369.866,374.699,357.096,489.201,660.233,722.674,867.779,988.507,1049.564,934.296,801.262,891.126,912.377,1032.664,1277.175,1647.038,2049.499,2447.026,3145.641,3877.46,3023.664,3528.997,4136.414,4269.765,4513.272,4249.586,3297.207,3227.913,3647.099,3824.569,3879.711,3627.075,4300.18,4818.061,5041.203,5556.849,5804.54,6015.336,6287.983,6571.793,6855.573,
Emerging market and developing economies,2755.146,2913.869,2758.423,2712.301,2719.785,2755.722,2826.892,3116.478,3432.291,3752.724,4230.662,4004.237,4197.124,4754.955,5130.064,5882.485,6574.333,6988.071,6739.322,6520.744,7175.138,7206.73,7164.302,8073.097,9586.401,11456.338,13560.206,16702.194,20057.845,19154.726,23021.943,27144.539,28765.306,30521.971,31519.269,29619.727,29644.951,32464.444,34634.119,35372.918,33991.924,39864.674,42603.07,43555.634,45383.206,47933.267,51024.845,54208.894,57568.943,61043.548,
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6114.699,6743.626,6129.387,6474.624,7641.512,7760.426,6970.111,7135.488,7154.319,6525.12,6621.795,7225.41,8904.607,10210.254,10601.683,11270.219,12985.332,14284.644,13057.033,12784.351,13789.822,12783.046,13346.064,13671.553,11817.521,12108.592,12825.308,13861.869,13572.908,13229.445,14885.777,14387.732,15682.849,16370.212,17082.558,17751.025,18314.836,18901.05,19509.426,
European Union,3210.486,2837.991,2750.765,2689.875,2589.531,2666.495,3657.155,4482.069,4951.612,5039.932,6204.968,6616.561,7299.302,6672.856,7082.816,8290.975,8426.322,7738.035,7973.592,7942.939,7289.66,7403.04,8090.796,9949.065,11438.498,11954.984,12763.168,14790.108,16369.368,14837.588,14655.285,15870.872,14743.531,15402.091,15769.415,13658.69,13988.192,14867.334,16094.376,15802.16,15479.85,17493.639,16992.23,18579.215,19403.162,20287.33,21122.21,21848.952,22596.601,23373.637,
Latin America and the Caribbean,876.65,950.117,777.912,706.95,737.875,791.64,783.613,832.087,938.267,1054.927,1179.755,1271.402,1394.185,1573.593,1788.635,1915.501,2080.03,2278.261,2301.29,2066.873,2259.769,2207.294,1958.921,1990.523,2280.138,2766.683,3245.828,3847.896,4477.464,4136.87,5155.629,5952.597,6048.382,6120.126,6061.089,5132.02,4940.908,5495.926,5358.782,5241.734,4399.085,5121.194,5857.377,6564.443,6728.466,6894.058,7266.192,7630.325,8015.34,8410.199,
Major advanced economies (G7),6899.738,7116.547,7084.008,7476.475,7867.149,8339.916,10092.714,11599.296,13042.348,13538.536,14971.837,16042.961,17228.793,17575.068,18798.778,20505.266,20470.046,20205.15,20473.246,21594.537,22112.21,21854.685,22533.721,24879.158,27331.248,28544.573,29771.997,31977.972,33541.878,31945.782,33179.381,35291.545,35446.386,35503.783,36379.787,34937.26,35928.783,37194.333,39234.801,39955.338,39251.359,43372.877,44635.745,47346.463,49300.856,51451.646,53480.449,55476.216,57603.158,59726.466,
Middle East and Central Asia,531.478,592.242,585.559,595.338,604.372,623.14,632.282,748.721,785.104,896.922,1135.857,819.717,611.722,652.439,699.266,789.885,896.776,949.647,950.793,1062.888,1272.628,1225.066,1042.228,1182.628,1418.578,1726.035,2059.61,2464.817,3046.837,2736.486,3211.156,3793.275,3908.08,4047.876,4150.172,3709.045,3664.137,3776.477,3937.511,3856.637,3445.323,4043.648,4875.611,4734.534,4980.028,5142.633,5453.759,5794.442,6150.927,6530.354,
Other advanced economies,776.681,792.517,787.705,786.566,824.785,822.452,1002.695,1234.647,1456.866,1585.469,1826.481,1941.25,2071.524,2047.634,2300.245,2712.876,2893.52,2802.683,2525.131,2707.942,2800.172,2716.2,2955.345,3403.893,3888.962,4292.285,4651.311,5319.442,5612.985,5160.602,5946.533,6791.018,6848.143,7086.172,7220.494,6650.084,6791.123,7299.798,7688.832,7556.87,7515.723,8742.162,8789.585,8897.231,9183.356,9599.703,10023.639,10438.729,10868.694,11295.67,
Sub-Saharan Africa,320.823,339.147,342.054,315.198,251.048,229.997,261.179,283.912,306.429,312.48,417.073,423.269,419.692,417.651,404.935,497.404,556.365,578.862,579.919,423.814,427.34,408.492,441.199,555.338,683.145,804.838,924.627,1066.91,1223.877,1175.837,1391.241,1596.2,1678.325,1764.54,1844.029,1650.138,1531.502,1641.241,1771.342,1809.675,1687.915,1900.803,2034.706,1944.358,1840.998,1895.789,2039.463,2176.224,2328.696,2481.12,
World,11235.818,11529.924,11313.68,11615.359,12030.448,12558.693,14798.046,17036.133,19156.24,20156.919,22642.667,23672.207,25359.107,26085.657,28047.317,31269.011,32143.509,32059.262,31893.491,33020.872,34138.96,33897.174,35013.212,39318.946,44255.95,47951.782,51944.573,58637.753,64361.599,60956.964,66681.954,74034.228,75474.742,77697.617,79807.571,75330.329,76597.84,81479.196,86497.192,87772.492,85519.462,97402.909,101409.366,105685.121,110064.915,115494.312,121325.453,127172.936,133351.77,139651.617,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
