"Country",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,
Brunei Darussalam,no data,no data,no data,no data,no data,4.831,3.291,3.872,3.689,4.109,4.923,5.254,5.526,5.588,6.002,7.153,7.204,7.043,5.353,5.779,6.65,6.206,6.475,7.266,8.723,10.561,12.71,13.571,15.949,11.892,13.707,18.525,19.048,18.094,17.098,12.93,11.4,12.128,13.567,13.469,12.006,14.006,16.682,15.126,15.71,16.679,17.416,18.02,18.807,19.744,
Bulgaria,37.751,40.718,42.467,43.641,46.358,39.692,35.13,40.721,66.546,67.774,29.882,2.928,11.882,6.449,11.338,18.992,12.295,11.317,15.031,13.628,13.246,14.183,16.403,21.146,26.158,29.868,34.38,44.432,54.476,52.024,50.69,57.682,54.297,55.82,57.081,50.766,53.929,59.288,66.398,68.889,70.311,84.1,90.422,101.611,108.425,115.531,121.858,128.062,134.1,140.758,
Burkina Faso,2.386,2.076,1.934,1.767,1.579,1.746,2.29,2.665,2.942,2.942,3.488,3.526,3.775,3.599,2.164,2.676,2.909,2.753,3.155,3.388,2.961,3.19,3.62,4.74,5.449,6.15,6.548,7.627,9.45,9.44,10.118,12.078,12.569,13.444,13.947,11.833,12.829,14.094,15.916,16.031,17.754,19.654,18.906,20.283,21.858,23.562,25.362,27.148,29.1,31.226,
Burundi,0.951,0.989,1.045,1.106,1.005,1.17,1.233,1.161,1.088,1.131,1.131,1.167,1.082,0.938,0.924,1,0.868,0.972,0.893,0.866,0.87,0.877,0.825,0.785,0.915,1.117,1.273,1.356,1.612,1.775,2.032,2.236,2.333,2.456,2.706,3.104,2.96,3.172,3.037,3.012,3.086,3.351,3.917,4.241,4.285,2.154,2.386,2.619,2.871,3.099,
Cabo Verde,0.157,0.154,0.149,0.144,0.146,0.164,0.212,0.264,0.322,0.332,0.413,0.443,0.479,0.431,0.45,0.57,0.611,0.609,0.648,0.693,0.699,0.791,0.867,1.105,1.263,1.395,1.452,1.65,1.96,1.852,1.825,2.047,1.913,2.029,2.042,1.75,1.855,1.965,2.073,2.231,1.831,2.053,2.309,2.588,2.756,2.936,3.143,3.348,3.564,3.796,
Cambodia,no data,no data,no data,no data,no data,no data,0.205,0.141,0.276,0.346,0.898,2.007,2.435,2.422,2.76,3.43,3.509,3.462,3.132,3.522,3.707,4.154,4.507,5.054,5.879,7.058,8.342,10.117,12.162,12.49,13.796,16.017,17.829,19.806,22.04,24.217,26.591,29.394,33.181,36.682,34.898,36.797,39.838,43.304,47.147,51.159,55.746,60.688,66.005,71.761,
Cameroon,8.85,10.026,9.616,9.692,10.243,10.698,13.945,16.152,16.403,14.626,14.641,16.325,14.963,15.611,10.622,10.075,11.227,11.352,11.338,11.553,10.245,10.95,12.369,15.944,18.803,19.534,20.912,23.931,27.712,27.903,27.53,30.626,30.174,33.729,36.396,32.213,33.805,36.086,39.992,39.673,40.863,45.036,44.442,49.287,53.391,57.746,62.079,66.361,71.204,76.417,
Canada,276.064,307.246,314.639,341.863,356.728,366.184,379.015,433.14,509.38,567.225,596.089,612.514,594.376,579.059,579.913,605.941,630.598,655.01,634.004,678.417,744.631,738.968,760.149,895.599,1026.473,1173.505,1319.356,1468.896,1552.864,1376.509,1617.345,1793.327,1828.362,1846.595,1805.751,1556.508,1527.996,1649.266,1725.3,1743.725,1655.685,2007.472,2161.483,2142.471,2214.796,2330.308,2445.95,2559.321,2675.974,2793.495,
Central African Republic,0.714,0.743,0.719,0.69,0.67,0.883,1.158,1.275,1.372,1.354,1.572,1.498,1.494,1.309,0.858,1.117,1,0.979,1.036,1.039,0.868,0.899,0.983,1.188,1.31,1.413,1.538,1.755,2.033,2.059,2.141,2.435,2.512,1.692,1.896,1.696,1.825,2.072,2.28,2.278,2.389,2.585,2.46,2.631,2.823,3.026,3.267,3.494,3.729,3.979,
Chad,1.006,1.19,1.15,1.151,1.236,1.34,1.65,1.87,2.186,2.065,2.488,2.465,2.57,2.246,1.819,2.23,2.479,2.382,2.69,2.37,2.142,2.638,3.076,4.227,6.816,9.097,10.249,11.993,14.354,12.998,14.289,16.237,16.174,16.92,18.213,14.508,13.4,13.344,15.334,14.917,14.615,15.933,16.261,17.605,18.67,19.647,20.866,21.973,23.216,24.517,
