Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,,1981_change,1982_change,1983_change,1984_change,1985_change,1986_change,1987_change,1988_change,1989_change,1990_change,1991_change,1992_change,1993_change,1994_change,1995_change,1996_change,1997_change,1998_change,1999_change,2000_change,2001_change,2002_change,2003_change,2004_change,2005_change,2006_change,2007_change,2008_change,2009_change,2010_change,2011_change,2012_change,2013_change,2014_change,2015_change,2016_change,2017_change,2018_change,2019_change,2020_change,2021_change,2022_change,2023_change,2024_change,2025_change,2026_change,2027_change,2028_change,2029_change
Bhutan,0.132,0.143,0.15,0.162,0.168,0.174,0.197,0.238,0.273,0.272,0.293,0.254,0.248,0.26,0.263,0.308,0.324,0.362,0.398,0.418,0.454,0.474,0.517,0.616,0.7,0.818,0.876,1.071,1.353,1.274,1.511,1.842,1.931,1.967,1.933,2.126,2.218,2.445,2.651,2.618,2.586,2.623,2.869,2.908,3.151,3.516,3.894,4.259,4.668,5.177,,8.33,4.90,8.00,3.70,3.57,13.22,20.81,14.71,-0.37,7.72,-13.31,-2.36,4.84,1.15,17.11,5.19,11.73,9.94,5.03,8.61,4.41,9.07,19.15,13.64,16.86,7.09,22.26,26.33,-5.84,18.60,21.91,4.83,1.86,-1.73,9.98,4.33,10.23,8.43,-1.24,-1.22,1.43,9.38,1.36,8.36,11.58,10.75,9.37,9.60,10.90
Bolivia,3.589,3.44,3.813,3.609,3.752,4.059,3.97,4.323,4.598,4.716,4.868,5.335,5.635,5.724,5.974,6.707,7.385,7.919,8.49,8.269,8.385,8.155,7.917,8.092,8.785,9.573,11.52,13.216,16.792,17.464,19.786,24.135,27.282,30.883,33.237,33.241,34.189,37.782,40.581,41.193,36.897,40.701,44.329,45.468,48.172,51.302,54.462,57.859,61.454,65.257,,-4.15,10.84,-5.35,3.96,8.18,-2.19,8.89,6.36,2.57,3.22,9.59,5.62,1.58,4.37,12.27,10.11,7.23,7.21,-2.60,1.40,-2.74,-2.92,2.21,8.56,8.97,20.34,14.72,27.06,4.00,13.30,21.98,13.04,13.20,7.62,0.01,2.85,10.51,7.41,1.51,-10.43,10.31,8.91,2.57,5.95,6.50,6.16,6.24,6.21,6.19
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.584,4.578,5.281,5.766,5.554,5.784,6.711,8.477,10.157,10.935,12.46,15.323,18.712,17.601,17.164,18.629,17.207,18.155,18.522,16.404,17.117,18.326,20.484,20.483,20.226,23.673,24.535,27.055,28.404,29.864,31.499,33.046,34.769,36.868,,,,,,,,,,,,,,,,,,27.73,15.36,9.18,-3.68,4.14,16.03,26.32,19.82,7.66,13.95,22.98,22.12,-5.94,-2.48,8.54,-7.63,5.51,2.02,-11.44,4.35,7.06,11.78,-0.00,-1.25,17.04,3.64,10.27,4.99,5.14,5.47,4.91,5.21,6.04
Botswana,1.174,1.037,1.094,1.208,1.2,1.117,1.515,2.374,3.082,3.441,3.799,3.802,3.928,3.957,4.258,4.805,4.926,5.011,4.808,5.413,5.682,5.46,5.395,7.469,8.819,9.833,9.919,10.566,10.731,10.118,12.637,15.111,13.907,14.272,15.47,13.531,15.083,16.105,17.032,16.696,14.93,18.751,20.322,19.396,19.966,22.115,24.139,26.055,28.11,30.598,,-11.67,5.50,10.42,-0.66,-6.92,35.63,56.70,29.82,11.65,10.40,0.08,3.31,0.74,7.61,12.85,2.52,1.73,-4.05,12.58,4.97,-3.91,-1.19,38.44,18.07,11.50,0.87,6.52,1.56,-5.71,24.90,19.58,-7.97,2.62,8.39,-12.53,11.47,6.78,5.76,-1.97,-10.58,25.59,8.38,-4.56,2.94,10.76,9.15,7.94,7.89,8.85
Brazil,145.819,167.583,179.166,143.652,142.957,226.938,263.256,286.539,320.105,439.434,455.335,399.249,382.465,429.184,546.764,770.86,851.146,883.862,864.307,599.642,655.454,559.982,509.798,558.232,669.29,891.633,1107.628,1397.114,1695.855,1669.204,2208.704,2614.027,2464.053,2471.718,2456.055,1800.046,1796.622,2063.519,1916.934,1873.286,1476.092,1670.65,1951.849,2173.671,2188.419,2307.162,2444.937,2571.539,2709.595,2854.978,,14.93,6.91,-19.82,-0.48,58.75,16.00,8.84,11.71,37.28,3.62,-12.32,-4.20,12.22,27.40,40.99,10.42,3.84,-2.21,-30.62,9.31,-14.57,-8.96,9.50,19.89,33.22,24.22,26.14,21.38,-1.57,32.32,18.35,-5.74,0.31,-0.63,-26.71,-0.19,14.86,-7.10,-2.28,-21.20,13.18,16.83,11.36,0.68,5.43,5.97,5.18,5.37,5.37
Brunei Darussalam,no data,no data,no data,no data,no data,4.831,3.291,3.872,3.689,4.109,4.923,5.254,5.526,5.588,6.002,7.153,7.204,7.043,5.353,5.779,6.65,6.206,6.475,7.266,8.723,10.561,12.71,13.571,15.949,11.892,13.707,18.525,19.048,18.094,17.098,12.93,11.4,12.128,13.567,13.469,12.006,14.006,16.682,15.126,15.71,16.679,17.416,18.02,18.807,19.744,,,,,,,-31.88,17.65,-4.73,11.39,19.81,6.72,5.18,1.12,7.41,19.18,0.71,-2.23,-24.00,7.96,15.07,-6.68,4.33,12.22,20.05,21.07,20.35,6.77,17.52,-25.44,15.26,35.15,2.82,-5.01,-5.50,-24.38,-11.83,6.39,11.87,-0.72,-10.86,16.66,19.11,-9.33,3.86,6.17,4.42,3.47,4.37,4.98
Bulgaria,37.751,40.718,42.467,43.641,46.358,39.692,35.13,40.721,66.546,67.774,29.882,2.928,11.882,6.449,11.338,18.992,12.295,11.317,15.031,13.628,13.246,14.183,16.403,21.146,26.158,29.868,34.38,44.432,54.476,52.024,50.69,57.682,54.297,55.82,57.081,50.766,53.929,59.288,66.398,68.889,70.311,84.1,90.422,101.611,108.425,115.531,121.858,128.062,134.1,140.758,,7.86,4.30,2.76,6.23,-14.38,-11.49,15.92,63.42,1.85,-55.91,-90.20,305.81,-45.72,75.81,67.51,-35.26,-7.95,32.82,-9.33,-2.80,7.07,15.65,28.92,23.70,14.18,15.11,29.24,22.61,-4.50,-2.56,13.79,-5.87,2.80,2.26,-11.06,6.23,9.94,11.99,3.75,2.06,19.61,7.52,12.37,6.71,6.55,5.48,5.09,4.71,4.96
Burkina Faso,2.386,2.076,1.934,1.767,1.579,1.746,2.29,2.665,2.942,2.942,3.488,3.526,3.775,3.599,2.164,2.676,2.909,2.753,3.155,3.388,2.961,3.19,3.62,4.74,5.449,6.15,6.548,7.627,9.45,9.44,10.118,12.078,12.569,13.444,13.947,11.833,12.829,14.094,15.916,16.031,17.754,19.654,18.906,20.283,21.858,23.562,25.362,27.148,29.1,31.226,,-12.99,-6.84,-8.63,-10.64,10.58,31.16,16.38,10.39,0.00,18.56,1.09,7.06,-4.66,-39.87,23.66,8.71,-5.36,14.60,7.39,-12.60,7.73,13.48,30.94,14.96,12.86,6.47,16.48,23.90,-0.11,7.18,19.37,4.07,6.96,3.74,-15.16,8.42,9.86,12.93,0.72,10.75,10.70,-3.81,7.28,7.77,7.80,7.64,7.04,7.19,7.31
Burundi,0.951,0.989,1.045,1.106,1.005,1.17,1.233,1.161,1.088,1.131,1.131,1.167,1.082,0.938,0.924,1,0.868,0.972,0.893,0.866,0.87,0.877,0.825,0.785,0.915,1.117,1.273,1.356,1.612,1.775,2.032,2.236,2.333,2.456,2.706,3.104,2.96,3.172,3.037,3.012,3.086,3.351,3.917,4.241,4.285,2.154,2.386,2.619,2.871,3.099,,4.00,5.66,5.84,-9.13,16.42,5.38,-5.84,-6.29,3.95,0.00,3.18,-7.28,-13.31,-1.49,8.23,-13.20,11.98,-8.13,-3.02,0.46,0.80,-5.93,-4.85,16.56,22.08,13.97,6.52,18.88,10.11,14.48,10.04,4.34,5.27,10.18,14.71,-4.64,7.16,-4.26,-0.82,2.46,8.59,16.89,8.27,1.04,-49.73,10.77,9.77,9.62,7.94
Cabo Verde,0.157,0.154,0.149,0.144,0.146,0.164,0.212,0.264,0.322,0.332,0.413,0.443,0.479,0.431,0.45,0.57,0.611,0.609,0.648,0.693,0.699,0.791,0.867,1.105,1.263,1.395,1.452,1.65,1.96,1.852,1.825,2.047,1.913,2.029,2.042,1.75,1.855,1.965,2.073,2.231,1.831,2.053,2.309,2.588,2.756,2.936,3.143,3.348,3.564,3.796,,-1.91,-3.25,-3.36,1.39,12.33,29.27,24.53,21.97,3.11,24.40,7.26,8.13,-10.02,4.41,26.67,7.19,-0.33,6.40,6.94,0.87,13.16,9.61,27.45,14.30,10.45,4.09,13.64,18.79,-5.51,-1.46,12.16,-6.55,6.06,0.64,-14.30,6.00,5.93,5.50,7.62,-17.93,12.12,12.47,12.08,6.49,6.53,7.05,6.52,6.45,6.51
