Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,,1981_change,1982_change,1983_change,1984_change,1985_change,1986_change,1987_change,1988_change,1989_change,1990_change,1991_change,1992_change,1993_change,1994_change,1995_change,1996_change,1997_change,1998_change,1999_change,2000_change,2001_change,2002_change,2003_change,2004_change,2005_change,2006_change,2007_change,2008_change,2009_change,2010_change,2011_change,2012_change,2013_change,2014_change,2015_change,2016_change,2017_change,2018_change,2019_change,2020_change,2021_change,2022_change,2023_change,2024_change,2025_change,2026_change,2027_change,2028_change,2029_change
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.85,1.961,3.148,3.608,3.73,2.898,3.144,3.311,3.493,4.103,5.269,6.59,7.979,10.458,13.158,11.069,12.425,15.475,16.894,17.516,17.966,15.223,15.445,16.472,17.905,17.645,16.013,18.849,24.985,30.536,33.191,35.908,38.602,41.502,44.235,47.409,,,,,,,,,,,,,,,,130.71,60.53,14.61,3.38,-22.31,8.49,5.31,5.50,17.46,28.42,25.07,21.08,31.07,25.82,-15.88,12.25,24.55,9.17,3.68,2.57,-15.27,1.46,6.65,8.70,-1.45,-9.25,17.71,32.55,22.22,8.69,8.19,7.50,7.51,6.59,7.18
Germany,856.833,720.895,696.088,694.447,654.289,663.459,947.583,1179.165,1271.263,1262,1604.497,1882.489,2146.14,2080.092,2220.165,2595.269,2507.448,2221.504,2250.847,2216.072,1967.85,1966.395,2100.865,2534.081,2851.023,2894.992,3046.47,3484.467,3808.369,3476.022,3470.987,3824.155,3600.175,3808.142,3966.823,3423.915,3536.808,3761.764,4053.846,3957.645,3936.989,4351.188,4166.872,4527.009,4710.032,4921.563,5117.18,5267.977,5415.468,5566.083,,-15.87,-3.44,-0.24,-5.78,1.40,42.82,24.44,7.81,-0.73,27.14,17.33,14.01,-3.08,6.73,16.90,-3.38,-11.40,1.32,-1.54,-11.20,-0.07,6.84,20.62,12.51,1.54,5.23,14.38,9.30,-8.73,-0.14,10.17,-5.86,5.78,4.17,-13.69,3.30,6.36,7.76,-2.37,-0.52,10.52,-4.24,8.64,4.04,4.49,3.97,2.95,2.80,2.78
Ghana,37.35,60.694,70.406,47.317,17.113,15.255,14.072,11.777,12.523,12.733,14.749,16.506,16.312,13.348,12.32,14.61,15.482,15.794,17.166,17.766,11.47,12.234,14.205,17.528,20.302,24.6,28.883,34.044,38.659,34.601,43.327,53.849,56.854,63.702,54.417,49.437,56.144,60.385,67.274,68.352,70.005,79.599,73.956,76.402,75.307,75.761,81.054,86.817,92.778,99.054,,62.50,16.00,-32.79,-63.83,-10.86,-7.75,-16.31,6.33,1.68,15.83,11.91,-1.18,-18.17,-7.70,18.59,5.97,2.02,8.69,3.50,-35.44,6.66,16.11,23.39,15.83,21.17,17.41,17.87,13.56,-10.50,25.22,24.29,5.58,12.04,-14.58,-9.15,13.57,7.55,11.41,1.60,2.42,13.70,-7.09,3.31,-1.43,0.60,6.99,7.11,6.87,6.76
Greece,57.01,52.605,54.878,49.603,48.329,47.936,56.421,65.682,76.447,79.25,97.963,105.633,116.466,109.022,116.678,136.941,145.872,143.327,144.644,149.412,132.198,136.31,154.455,202.319,240.854,248.012,273.561,318.94,355.87,330.949,297.368,282.946,242.183,238.911,235.519,195.703,193.095,199.774,212.146,205.275,188.329,214.811,217.753,238.275,252.732,265.171,275.854,284.996,294.529,304.436,,-7.73,4.32,-9.61,-2.57,-0.81,17.70,16.41,16.39,3.67,23.61,7.83,10.26,-6.39,7.02,17.37,6.52,-1.74,0.92,3.30,-11.52,3.11,13.31,30.99,19.05,2.97,10.30,16.59,11.58,-7.00,-10.15,-4.85,-14.41,-1.35,-1.42,-16.91,-1.33,3.46,6.19,-3.24,-8.26,14.06,1.37,9.42,6.07,4.92,4.03,3.31,3.34,3.36
Grenada,0.111,0.116,0.125,0.132,0.146,0.168,0.188,0.215,0.236,0.267,0.278,0.301,0.31,0.31,0.325,0.342,0.367,0.392,0.446,0.482,0.52,0.52,0.54,0.591,0.599,0.695,0.699,0.759,0.826,0.771,0.771,0.779,0.8,0.843,0.911,0.997,1.062,1.126,1.167,1.213,1.043,1.123,1.231,1.324,1.393,1.479,1.558,1.632,1.709,1.79,,4.50,7.76,5.60,10.61,15.07,11.90,14.36,9.77,13.14,4.12,8.27,2.99,0.00,4.84,5.23,7.31,6.81,13.78,8.07,7.88,0.00,3.85,9.44,1.35,16.03,0.58,8.58,8.83,-6.66,0.00,1.04,2.70,5.37,8.07,9.44,6.52,6.03,3.64,3.94,-14.01,7.67,9.62,7.55,5.21,6.17,5.34,4.75,4.72,4.74
Guatemala,7.718,8.431,8.539,8.864,9.276,10.951,5.921,6.857,7.426,8.561,7.535,9.174,10.138,11.045,12.482,14.05,14.992,16.982,18.461,17.422,18.124,19.735,21.924,23.092,24.977,28.179,31.308,35.028,40.242,37.997,41.493,47.419,49.902,52.989,57.835,62.18,66.034,71.624,73.331,77.156,77.718,86.467,95.631,104.436,112.369,120.964,130.469,140.853,152.049,164.142,,9.24,1.28,3.81,4.65,18.06,-45.93,15.81,8.30,15.28,-11.98,21.75,10.51,8.95,13.01,12.56,6.70,13.27,8.71,-5.63,4.03,8.89,11.09,5.33,8.16,12.82,11.10,11.88,14.89,-5.58,9.20,14.28,5.24,6.19,9.15,7.51,6.20,8.47,2.38,5.22,0.73,11.26,10.60,9.21,7.60,7.65,7.86,7.96,7.95,7.95
Guinea,2.4,2.381,2.335,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.012,4.506,4.178,6.317,6.966,6.753,6.858,6.775,7.387,8.376,8.777,8.79,8.604,10.325,11.857,13.443,14.089,16.32,19.589,23.005,25.474,27.295,29.117,31.099,33.236,35.503,,-0.79,-1.93,-2.18,1.88,6.27,8.17,6.17,16.80,2.02,9.63,13.07,8.94,-0.18,3.18,9.18,3.44,-1.96,-4.01,-4.10,-15.82,-5.77,5.68,18.32,5.32,-10.10,-7.28,51.20,10.27,-3.06,1.55,-1.21,9.03,13.39,4.79,0.15,-2.12,20.00,14.84,13.38,4.81,15.84,20.03,17.44,10.73,7.15,6.68,6.81,6.87,6.82
Guinea-Bissau,0.289,0.37,0.421,0.475,0.33,0.485,0.474,0.401,0.374,0.449,0.548,0.772,0.846,0.653,0.361,0.778,0.741,0.704,0.592,0.58,0.392,0.413,0.466,0.553,0.582,0.64,0.635,0.753,0.953,0.889,0.941,1.157,1.05,1.11,1.136,1.153,1.245,1.469,1.555,1.487,1.523,1.722,1.721,2.005,2.188,2.355,2.551,2.748,2.95,3.169,,28.03,13.78,12.83,-30.53,46.97,-2.27,-15.40,-6.73,20.05,22.05,40.88,9.59,-22.81,-44.72,115.51,-4.76,-4.99,-15.91,-2.03,-32.41,5.36,12.83,18.67,5.24,9.97,-0.78,18.58,26.56,-6.72,5.85,22.95,-9.25,5.71,2.34,1.50,7.98,17.99,5.85,-4.37,2.42,13.07,-0.06,16.50,9.13,7.63,8.32,7.72,7.35,7.42
Guyana,0.842,0.808,0.692,0.703,0.654,0.697,0.789,0.728,0.828,0.832,0.685,0.744,0.823,1.003,1.176,1.332,1.495,1.587,1.5,1.488,1.497,1.504,1.555,1.592,1.657,1.712,1.899,2.225,2.491,2.596,2.889,3.328,4.063,4.168,4.128,4.28,4.483,4.748,4.788,5.174,5.471,7.662,14.529,17.05,23.033,24.483,28.366,29.4,30.55,31.81,,-4.04,-14.36,1.59,-6.97,6.57,13.20,-7.73,13.74,0.48,-17.67,8.61,10.62,21.87,17.25,13.27,12.24,6.15,-5.48,-0.80,0.60,0.47,3.39,2.38,4.08,3.32,10.92,17.17,11.96,4.22,11.29,15.20,22.09,2.58,-0.96,3.68,4.74,5.91,0.84,8.06,5.74,40.05,89.62,17.35,35.09,6.30,15.86,3.65,3.91,4.12
Haiti,2.664,2.932,3.05,3.273,3.627,4.028,4.475,2.205,1.45,1.34,1.706,1.53,0.918,1.107,3.054,4.846,5,5.748,6.408,7.148,6.81,6.285,6.064,4.866,6.037,7.186,7.507,9.522,10.488,11.598,11.852,13.009,13.709,14.904,15.137,14.831,13.996,15.036,16.454,14.787,14.508,21.017,19.826,19.603,26.274,30.57,33.125,34.106,35.613,37.444,,10.06,4.02,7.31,10.82,11.06,11.10,-50.73,-34.24,-7.59,27.31,-10.32,-40.00,20.59,175.88,58.68,3.18,14.96,11.48,11.55,-4.73,-7.71,-3.52,-19.76,24.06,19.03,4.47,26.84,10.14,10.58,2.19,9.76,5.38,8.72,1.56,-2.02,-5.63,7.43,9.43,-10.13,-1.89,44.86,-5.67,-1.12,34.03,16.35,8.36,2.96,4.42,5.14
Honduras,3.968,4.044,4.267,4.477,4.915,5.278,5.678,6.191,6.877,7.877,4.923,4.649,4.944,4.961,4.642,5.415,5.217,5.736,6.366,6.417,7.104,7.568,7.775,8.139,8.769,9.672,10.843,12.276,13.789,14.486,15.73,17.59,18.399,18.37,19.617,20.834,21.564,22.982,23.907,24.711,23.19,27.95,31.233,34.229,36.735,38.983,41.121,43.494,46.039,48.748,,1.92,5.51,4.92,9.78,7.39,7.58,9.03,11.08,14.54,-37.50,-5.57,6.35,0.34,-6.43,16.65,-3.66,9.95,10.98,0.80,10.71,6.53,2.74,4.68,7.74,10.30,12.11,13.22,12.32,5.05,8.59,11.82,4.60,-0.16,6.79,6.20,3.50,6.58,4.02,3.36,-6.16,20.53,11.75,9.59,7.32,6.12,5.48,5.77,5.85,5.88
Hong Kong SAR,28.862,31.055,32.291,29.907,33.511,35.7,41.076,50.623,59.708,68.79,76.929,88.96,104.272,120.354,135.812,144.652,159.718,177.349,168.858,165.734,171.643,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.639,248.514,262.629,275.697,291.46,309.386,320.86,341.271,361.731,363.075,344.941,368.954,358.681,380.812,401.751,422.057,441.629,463.963,486.511,510.548,,7.60,3.98,-7.38,12.05,6.53,15.06,23.24,17.95,15.21,11.83,15.64,17.21,15.42,12.84,6.51,10.42,11.04,-4.79,-1.85,3.57,-1.32,-1.80,-2.99,4.78,7.38,6.59,9.34,3.64,-2.39,6.82,8.69,5.68,4.98,5.72,6.15,3.71,6.36,6.00,0.37,-4.99,6.96,-2.78,6.17,5.50,5.05,4.64,5.06,4.86,4.94
Hungary,23.042,23.629,24.064,21.839,21.174,21.441,24.698,27.144,29.703,30.323,34.366,34.754,38.731,40.125,43.167,46.426,46.659,47.297,48.707,49.073,47.218,53.75,67.609,85.285,104.121,113.211,115.716,140.187,158.326,131.069,132.175,141.942,128.814,135.684,141.034,125.174,128.61,143.112,160.566,164.011,157.289,182.11,177.788,212.464,228.806,245.619,260.718,275.757,292.44,309.882,,2.55,1.84,-9.25,-3.05,1.26,15.19,9.90,9.43,2.09,13.33,1.13,11.44,3.60,7.58,7.55,0.50,1.37,2.98,0.75,-3.78,13.83,25.78,26.14,22.09,8.73,2.21,21.15,12.94,-17.22,0.84,7.39,-9.25,5.33,3.94,-11.25,2.74,11.28,12.20,2.15,-4.10,15.78,-2.37,19.50,7.69,7.35,6.15,5.77,6.05,5.96
Iceland,3.434,3.543,3.251,2.793,2.892,3.009,4.014,5.561,6.145,5.7,6.504,6.949,7.105,6.225,6.393,7.124,7.426,7.57,8.504,8.982,9.026,8.235,9.318,11.429,13.825,16.853,17.465,21.653,18.075,13.154,13.751,15.222,14.752,16.125,17.868,17.517,20.793,24.728,26.261,24.681,21.63,25.825,28.77,31.325,32.919,35.378,38.088,41.066,44.274,47.728,,3.17,-8.24,-14.09,3.54,4.05,33.40,38.54,10.50,-7.24,14.11,6.84,2.24,-12.39,2.70,11.43,4.24,1.94,12.34,5.62,0.49,-8.76,13.15,22.66,20.96,21.90,3.63,23.98,-16.52,-27.23,4.54,10.70,-3.09,9.31,10.81,-1.96,18.70,18.92,6.20,-6.02,-12.36,19.39,11.40,8.88,5.09,7.47,7.66,7.82,7.81,7.80
India,186.17,193.153,200.035,218.218,211.843,233.52,248.398,278.864,294.479,296.043,320.979,270.105,288.21,279.295,327.275,360.281,392.902,415.895,421.378,458.821,468.396,485.44,514.938,607.701,709.152,820.385,940.26,1216.736,1198.895,1341.889,1675.615,1823.052,1827.637,1856.721,2039.127,2103.588,2294.797,2651.474,2702.93,2835.606,2674.852,3167.271,3353.471,3567.552,3889.13,4271.922,4710.371,5193.509,5723.287,6307.191,,3.75,3.56,9.09,-2.92,10.23,6.37,12.26,5.60,0.53,8.42,-15.85,6.70,-3.09,17.18,10.09,9.05,5.85,1.32,8.89,2.09,3.64,6.08,18.01,16.69,15.69,14.61,29.40,-1.47,11.93,24.87,8.80,0.25,1.59,9.82,3.16,9.09,15.54,1.94,4.91,-5.67,18.41,5.88,6.38,9.01,9.84,10.26,10.26,10.20,10.20
Indonesia,99.296,110.848,113.799,103.149,107.218,107.062,101.22,95.214,107.279,122.582,138.258,154.558,168.28,190.913,213.727,244.227,274.722,260.68,115.323,169.158,179.482,174.507,212.807,255.346,279.344,310.92,396.518,470.092,558.291,578.577,755.094,892.969,917.87,912.524,890.815,860.854,931.877,1015.619,1042.272,1119.1,1059.055,1186.51,1319.076,1371.171,1402.59,1492.618,1614.873,1743.582,1883.651,2030.467,,11.63,2.66,-9.36,3.94,-0.15,-5.46,-5.93,12.67,14.26,12.79,11.79,8.88,13.45,11.95,14.27,12.49,-5.11,-55.76,46.68,6.10,-2.77,21.95,19.99,9.40,11.30,27.53,18.56,18.76,3.63,30.51,18.26,2.79,-0.58,-2.38,-3.36,8.25,8.99,2.62,7.37,-5.37,12.03,11.17,3.95,2.29,6.42,8.19,7.97,8.03,7.79
Iran,95.846,101.481,125.8,156.927,161.721,180.541,208.928,277.019,311.932,379.427,581.008,304.065,50.472,64.449,79.818,114.941,158.032,184.138,205,275.092,366.917,330.978,132.682,158.416,188.961,228.428,272.361,360.928,425.699,440.408,517.899,625.43,421.882,428.321,460.809,408.288,458.042,486.829,332.846,241.658,195.528,289.294,376.254,372.82,434.243,463.747,498.49,532.556,565.472,599.895,,5.88,23.96,24.74,3.05,11.64,15.72,32.59,12.60,21.64,53.13,-47.67,-83.40,27.69,23.85,44.00,37.49,16.52,11.33,34.19,33.38,-9.79,-59.91,19.40,19.28,20.89,19.23,32.52,17.95,3.46,17.60,20.76,-32.55,1.53,7.58,-11.40,12.19,6.28,-31.63,-27.40,-19.09,47.96,30.06,-0.91,16.48,6.79,7.49,6.83,6.18,6.09
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.984,21.113,21.063,15.8,36.642,50.065,65.144,88.833,131.614,111.66,138.517,185.75,218.032,234.638,234.651,177.634,168.429,190.048,230.189,236.682,182.576,210.753,288.059,252.407,264.149,270.874,288.773,306.537,326.721,349.022,,,,,,,,,,,,,,,,,,,,,,-18.75,-0.24,-24.99,131.91,36.63,30.12,36.36,48.16,-15.16,24.05,34.10,17.38,7.62,0.01,-24.30,-5.18,12.84,21.12,2.82,-22.86,15.43,36.68,-12.38,4.65,2.55,6.61,6.15,6.58,6.83
Ireland,21.425,20.423,21.313,20.618,19.883,21.168,28.516,33.66,36.875,38.03,48.199,48.84,54.911,51.364,55.843,69.26,75.928,82.957,90.305,98.993,100.253,109.347,128.505,164.63,194.283,211.993,232.193,270.112,275.417,236.187,222.167,241.295,227.415,243.305,266.857,302.422,305.649,348.411,395.641,407.17,436.205,531.66,549.003,551.554,560.566,587.225,613.962,639.215,665.269,694.167,,-4.68,4.36,-3.26,-3.56,6.46,34.71,18.04,9.55,3.13,26.74,1.33,12.43,-6.46,8.72,24.03,9.63,9.26,8.86,9.62,1.27,9.07,17.52,28.11,18.01,9.12,9.53,16.33,1.96,-14.24,-5.94,8.61,-5.75,6.99,9.68,13.33,1.07,13.99,13.56,2.91,7.13,21.88,3.26,0.46,1.63,4.76,4.55,4.11,4.08,4.34
Israel,25.071,26.565,28.47,31.752,30.059,27.938,34.394,41.08,50.888,51.777,61.097,69.307,77.446,77.837,88.852,105.553,115.181,119.516,120.586,121.425,136.516,134.99,125.339,131.544,140.162,147.442,159.076,184.706,221.231,213.401,239.679,268.095,263.59,298.469,315.019,303.47,321.942,358.459,376.309,400.941,413.196,492.596,527.694,513.611,528.067,550.905,584.771,610.251,637.935,667.234,,5.96,7.17,11.53,-5.33,-7.06,23.11,19.44,23.88,1.75,18.00,13.44,11.74,0.50,14.15,18.80,9.12,3.76,0.90,0.70,12.43,-1.12,-7.15,4.95,6.55,5.19,7.89,16.11,19.77,-3.54,12.31,11.86,-1.68,13.23,5.54,-3.67,6.09,11.34,4.98,6.55,3.06,19.22,7.13,-2.67,2.81,4.32,6.15,4.36,4.54,4.59
Italy,479.967,435.267,430.169,446.399,441.048,455.457,645.071,809.632,897.006,932.931,1164.328,1229.898,1305.099,1049.47,1082.455,1177.985,1315.136,1246.34,1274.382,1256.252,1150.169,1172.049,1280.84,1582.534,1811.987,1866.013,1958.667,2222.785,2417.242,2207.087,2146.687,2306.568,2099.259,2153.259,2173.816,1845.616,1886.59,1970.027,2100.387,2019.83,1905.954,2180.657,2104.65,2301.603,2376.51,2459.597,2534.561,2595.79,2663.695,2736.155,,-9.31,-1.17,3.77,-1.20,3.27,41.63,25.51,10.79,4.00,24.80,5.63,6.11,-19.59,3.14,8.83,11.64,-5.23,2.25,-1.42,-8.44,1.90,9.28,23.55,14.50,2.98,4.97,13.48,8.75,-8.69,-2.74,7.45,-8.99,2.57,0.95,-15.10,2.22,4.42,6.62,-3.84,-5.64,14.41,-3.49,9.36,3.25,3.50,3.05,2.42,2.62,2.72
Jamaica,2.565,2.817,3.235,2.875,2.119,1.993,2.369,2.672,3.184,3.692,4.663,4.285,4.328,5.44,5.453,6.549,7.394,8.4,8.787,8.887,9.065,9.195,9.719,9.43,10.175,11.233,11.946,12.881,13.743,12.107,13.193,14.413,14.765,14.213,13.865,14.154,14.108,14.755,15.648,15.808,13.885,14.674,17.003,19.315,20.586,21.586,22.33,23.09,23.884,24.705,,9.82,14.84,-11.13,-26.30,-5.95,18.87,12.79,19.16,15.95,26.30,-8.11,1.00,25.69,0.24,20.10,12.90,13.61,4.61,1.14,2.00,1.43,5.70,-2.97,7.90,10.40,6.35,7.83,6.69,-11.90,8.97,9.25,2.44,-3.74,-2.45,2.08,-0.32,4.59,6.05,1.02,-12.16,5.68,15.87,13.60,6.58,4.86,3.45,3.40,3.44,3.44
Japan,1129.378,1245.221,1158.731,1270.86,1345.825,1427.02,2120.084,2580.749,3125.725,3109.455,3185.904,3648.066,3980.703,4536.941,4998.798,5545.566,4923.393,4492.449,4098.363,4635.982,4968.36,4374.71,4182.845,4519.564,4893.135,4831.467,4601.663,4579.75,5106.679,5289.494,5759.072,6233.148,6272.362,5212.328,4896.995,4444.931,5003.678,4930.837,5040.881,5117.995,5054.094,5039.9,4271.933,4219.828,4070.094,4389.326,4584.638,4742.525,4949.611,5075.026,,10.26,-6.95,9.68,5.90,6.03,48.57,21.73,21.12,-0.52,2.46,14.51,9.12,13.97,10.18,10.94,-11.22,-8.75,-8.77,13.12,7.17,-11.95,-4.39,8.05,8.27,-1.26,-4.76,-0.48,11.51,3.58,8.88,8.23,0.63,-16.90,-6.05,-9.23,12.57,-1.46,2.23,1.53,-1.25,-0.28,-15.24,-1.22,-3.55,7.84,4.45,3.44,4.37,2.53
Jordan,3.932,4.416,4.713,4.953,5.003,5.033,6.445,6.794,6.364,4.279,4.187,4.373,5.403,5.615,6.321,6.759,7.054,7.389,8.163,8.414,8.725,9.268,9.972,10.575,11.771,13.134,15.795,17.957,22.648,24.538,27.134,29.524,31.679,34.503,36.9,38.642,39.949,41.667,43.432,44.566,43.762,46.362,48.722,50.885,53.305,56.113,59.183,62.482,65.966,69.643,,12.31,6.73,5.09,1.01,0.60,28.05,5.42,-6.33,-32.76,-2.15,4.44,23.55,3.92,12.57,6.93,4.36,4.75,10.48,3.07,3.70,6.22,7.60,6.05,11.31,11.58,20.26,13.69,26.12,8.35,10.58,8.81,7.30,8.91,6.95,4.72,3.38,4.30,4.24,2.61,-1.80,5.94,5.09,4.44,4.76,5.27,5.47,5.57,5.58,5.57
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.875,5.152,11.881,16.639,21.035,22.166,22.135,16.87,18.292,22.153,24.637,30.834,43.152,57.125,81.003,104.85,133.442,115.309,148.047,192.626,207.999,236.635,221.416,184.388,137.289,166.806,179.34,181.667,171.082,197.112,225.529,263.372,292.553,306.629,325.467,347.568,366.778,387.086,,,,,,,,,,,,,,79.20,130.61,40.05,26.42,5.38,-0.14,-23.79,8.43,21.11,11.21,25.15,39.95,32.38,41.80,29.44,27.27,-13.59,28.39,30.11,7.98,13.77,-6.43,-16.72,-25.54,21.50,7.51,1.30,-5.83,15.21,14.42,16.78,11.08,4.81,6.14,6.79,5.53,5.54
Kenya,13.449,12.667,12.196,11.279,11.703,11.646,13.832,15.163,15.721,15.586,16.219,15.315,15.084,10.479,12.546,15.905,18.064,18.3,20.63,18.594,18.206,18.697,19.03,21.391,22.79,26.307,29.668,36.708,41.058,42.347,45.406,46.555,56.407,61.703,68.395,70.37,74.816,81.965,92.211,100.328,100.912,109.875,114.733,108.747,116.321,116.662,118.567,124.597,133.201,142.736,,-5.81,-3.72,-7.52,3.76,-0.49,18.77,9.62,3.68,-0.86,4.06,-5.57,-1.51,-30.53,19.73,26.77,13.57,1.31,12.73,-9.87,-2.09,2.70,1.78,12.41,6.54,15.43,12.78,23.73,11.85,3.14,7.22,2.53,21.16,9.39,10.85,2.89,6.32,9.56,12.50,8.80,0.58,8.88,4.42,-5.22,6.96,0.29,1.63,5.09,6.91,7.16
Kiribati,0.033,0.035,0.033,0.031,0.034,0.026,0.026,0.03,0.038,0.038,0.037,0.041,0.062,0.059,0.067,0.069,0.081,0.08,0.075,0.077,0.075,0.065,0.075,0.097,0.104,0.114,0.112,0.138,0.15,0.142,0.166,0.196,0.207,0.202,0.201,0.192,0.207,0.223,0.234,0.217,0.224,0.29,0.271,0.279,0.312,0.333,0.351,0.366,0.38,0.396,,6.06,-5.71,-6.06,9.68,-23.53,0.00,15.38,26.67,0.00,-2.63,10.81,51.22,-4.84,13.56,2.99,17.39,-1.23,-6.25,2.67,-2.60,-13.33,15.38,29.33,7.22,9.62,-1.75,23.21,8.70,-5.33,16.90,18.07,5.61,-2.42,-0.50,-4.48,7.81,7.73,4.93,-7.26,3.23,29.46,-6.55,2.95,11.83,6.73,5.41,4.27,3.83,4.21
"Korea, Republic of",67.729,75.568,81.179,90.93,101.033,104.955,121.056,153.293,206.801,255.847,293.6,342.6,368.356,406.915,480.17,587.059,632.201,591.202,396.682,515.213,597.802,567.655,649.747,728.497,822.583,971.54,1094.545,1220.756,1093.487,982.854,1192.722,1307.239,1335.344,1434.67,1556.252,1539.212,1578.816,1710.197,1824.251,1751.046,1744.456,1942.314,1799.363,1839.058,1869.916,1947.133,2029.479,2114.435,2197.399,2278.685,,11.57,7.43,12.01,11.11,3.88,15.34,26.63,34.91,23.72,14.76,16.69,7.52,10.47,18.00,22.26,7.69,-6.49,-32.90,29.88,16.03,-5.04,14.46,12.12,12.92,18.11,12.66,11.53,-10.43,-10.12,21.35,9.60,2.15,7.44,8.47,-1.09,2.57,8.32,6.67,-4.01,-0.38,11.34,-7.36,2.21,1.68,4.13,4.23,4.19,3.92,3.70
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.217,2.509,2.73,3.39,3.71,3.828,4.019,4.868,5.202,5.03,5.348,6.34,6.167,6.735,7.076,6.296,6.681,7.178,7.882,7.9,7.728,9.418,9.375,10.44,11.172,11.839,12.618,13.341,14.124,14.962,,,,,,,,,,,,,,,,,,,,,,13.17,8.81,24.18,9.44,3.18,4.99,21.12,6.86,-3.31,6.32,18.55,-2.73,9.21,5.06,-11.02,6.11,7.44,9.81,0.23,-2.18,21.87,-0.46,11.36,7.01,5.97,6.58,5.73,5.87,5.93
Kuwait,no data,25.249,21.583,20.871,21.7,21.445,17.904,22.368,20.69,24.313,18.293,10.826,19.871,23.955,24.859,27.186,31.491,30.35,25.941,30.126,37.714,34.906,38.129,47.869,59.439,80.799,101.548,114.608,147.391,105.992,115.401,154.02,174.066,174.179,162.695,114.606,109.399,120.688,138.655,140.855,111.048,148.455,183.977,163.716,161.822,161.95,165.951,171.06,177.062,183.69,,,-14.52,-3.30,3.97,-1.18,-16.51,24.93,-7.50,17.51,-24.76,-40.82,83.55,20.55,3.77,9.36,15.84,-3.62,-14.53,16.13,25.19,-7.45,9.23,25.54,24.17,35.94,25.68,12.86,28.60,-28.09,8.88,33.47,13.02,0.06,-6.59,-29.56,-4.54,10.32,14.89,1.59,-21.16,33.69,23.93,-11.01,-1.16,0.08,2.47,3.08,3.51,3.74
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.917,0.665,1.108,1.493,1.822,1.767,1.63,1.242,1.368,1.525,1.606,1.92,2.214,2.459,2.837,3.807,5.139,4.69,4.794,6.198,6.604,7.335,7.467,6.678,6.813,7.703,8.271,9.372,8.283,9.256,12.269,13.993,15.774,17.382,18.483,19.758,20.959,22.235,,,,,,,,,,,,,,-27.48,66.62,34.75,22.04,-3.02,-7.75,-23.80,10.14,11.48,5.31,19.55,15.31,11.07,15.37,34.19,34.99,-8.74,2.22,29.29,6.55,11.07,1.80,-10.57,2.02,13.06,7.37,13.31,-11.62,11.75,32.55,14.05,12.73,10.19,6.33,6.90,6.08,6.09
Lao P.D.R.,1.913,1.118,1.119,2.047,2.93,3.685,2.577,1.815,1.182,1.46,1.742,2.053,2.354,2.652,3.081,3.579,3.726,3.515,1.334,1.415,1.72,1.757,1.844,2.26,2.651,3.079,3.934,4.757,5.946,6.431,7.506,8.964,10.194,11.972,13.266,14.418,15.904,17.055,18.131,18.77,18.511,18.533,15.121,14.943,14.949,14.44,13.444,12.41,11.546,10.75,,-41.56,0.09,82.93,43.14,25.77,-30.07,-29.57,-34.88,23.52,19.32,17.85,14.66,12.66,16.18,16.16,4.11,-5.66,-62.05,6.07,21.55,2.15,4.95,22.56,17.30,16.14,27.77,20.92,24.99,8.16,16.72,19.42,13.72,17.44,10.81,8.68,10.31,7.24,6.31,3.52,-1.38,0.12,-18.41,-1.18,0.04,-3.40,-6.90,-7.69,-6.96,-6.89
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.694,2.728,4.533,5.411,5.975,6.529,7.169,7.535,7.963,8.363,9.564,11.777,14.44,17.03,21.589,31.1,36.023,26.48,23.998,27.74,28.191,30.21,31.395,27.266,28.076,30.473,34.445,34.229,34.363,39.469,40.454,43.64,45.521,48.164,50.917,53.485,56.212,59.114,,,,,,,,,,,,,,61.04,66.17,19.37,10.42,9.27,9.80,5.11,5.68,5.02,14.36,23.14,22.61,17.94,26.77,44.05,15.83,-26.49,-9.37,15.59,1.63,7.16,3.92,-13.15,2.97,8.54,13.03,-0.63,0.39,14.86,2.50,7.88,4.31,5.81,5.72,5.04,5.10,5.16
